"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"LTC2057HV";"OPA627U";"SO08";"IC1, IC2";"Difet(R) Operational Amplifiers";"";
"2";"MJE15030";"BJT_NPNMJE15030";"TRANSISTOR_TO220_BCE_N";"Q45, Q72";"";"";
"3";"MJL4281A";"BJT_NPNMJL4281";"TRANSISTOR_TO247_BCE_N";"Q50, Q77, Q89";"";"";
"3";"MJL4302A";"BJT_PNPMJL4302";"TRANSISTOR_TO247_BCE_P";"Q51, Q78, Q90";"";"";
"2";"MOS_BRIDGE";"GBU4";"GBU4S";"B1, B2";"GENERAL INSTRUMENT RECTIFIER";"";
"2";"OPA827";"LT1037CS8";"SOIC8";"IC5, IC6";"Low Noise, High Speed, Precision Operational Amplifiers";"";
"2";"PAD";"PAD";"PAD-16";"PAD1, PAD2";"";"";
"18";"RED";"LEDVWV1206";"LED_SML1206";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18";"LED";"";
"2";"S1G";"DIODE-DO214AA";"DO214AA";"D15, D16";"DIODE";"";
"1";"VWV";"VWV";"VWV";"S1";"";"";
